"id";"k_wil";"nama_sls";"rt";"art";"validasi";"perlakuan";"cek";"catatan"
"28537";"1206083014000200";"DUSUN 2";"43";"6";"Balita Kesulitan Mengurus Diri Sendiri";"Cek kembali, jika memang balita normal maka balita tidak kesulitan tetapi jika balita ada keterangan mengalami gangguan maka balita kesulitan mengurus diri sendiri";"sudah";NULL
"28538";"1206030006000100";"DUSUN 1";"28";"2";"5 PNS BIDAN DESA";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28539";"1206030007000300";"DUSUN 3 SIMARMAR";"82";"2";"1 PETANI JAGUNG";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28540";"1206030007000400";"DUSUN 4 SOSOR DOLOK";"82";"3";"26 PNS DINAS PERTANIAN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28541";"1206030015000400";"DUSUN 4 SIANIPAR BALIGE";"24";"2";"16 BUMN BANK BNI BALIGE";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28542";"1206030015000400";"DUSUN 4 SIANIPAR BALIGE";"130";"2";"15 PNS KOMINFO";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28543";"1206030016000200";"DUSUN 2";"98";"1";"5 BETERNAK KAMBING";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28544";"1206030016000200";"DUSUN 2";"103";"2";"5 GURU PNS";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28545";"1206030016000200";"DUSUN 2";"113";"2";"16 ADMINISTRASI BRI";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28546";"1206030018000400";"LINGKUNGAN 4";"71";"1";"16 BUMN BANK MANDIRI";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
