k_wil;k_kec;n_kec;k_desa;n_desa;k_sls;k_subsls;n_sls
1,21E+15;30;BALIGE;27;BARU ARA;3;0;DUSUN SISANDI
1,21E+15;30;BALIGE;28;MATIO;1;0;DUSUN 1
1,21E+15;30;BALIGE;28;MATIO;2;0;DUSUN 2
1,21E+15;30;BALIGE;28;MATIO;2;0;DUSUN 3
1,21E+15;30;BALIGE;28;MATIO;1;0;DUSUN 4
1,21E+15;30;BALIGE;29;LUMBAN PEA;2;0;DUSUN 1 PASAR TAMBUNAN
1,21E+15;30;BALIGE;29;LUMBAN PEA;3;0;DUSUN 2 PARBAGASAN
1,21E+15;30;BALIGE;29;LUMBAN PEA;1;0;DUSUN 3 PASAR SINTA NAULI
1,21E+15;30;BALIGE;29;LUMBAN PEA;3;0;DUSUN 4 LUMBAN TONGA TONGA
1,21E+15;30;BALIGE;29;LUMBAN PEA;3;0;DUSUN 5 RIANIATE
1,21E+15;30;BALIGE;30;LUMBAN GAOL;3;0;DUSUN 1
1,21E+15;30;BALIGE;30;LUMBAN GAOL;2;0;DUSUN 2
1,21E+15;30;BALIGE;30;LUMBAN GAOL;1;0;DUSUN 3
1,21E+15;30;BALIGE;31;SIBOLA HOTANGSAS;1;0;DUSUN 1
1,21E+15;30;BALIGE;31;SIBOLA HOTANGSAS;2;0;DUSUN 2
1,21E+15;30;BALIGE;31;SIBOLA HOTANGSAS;4;0;DUSUN 3
1,21E+15;30;BALIGE;31;SIBOLA HOTANGSAS;2;0;DUSUN 3
1,21E+15;30;BALIGE;31;SIBOLA HOTANGSAS;3;0;DUSUN 4
1,21E+15;30;BALIGE;32;LUMBAN BUL BUL;1;0;DUSUN 1
1,21E+15;30;BALIGE;32;LUMBAN BUL BUL;2;0;DUSUN 2
1,21E+15;30;BALIGE;32;LUMBAN BUL BUL;3;0;DUSUN 3
1,21E+15;30;BALIGE;32;LUMBAN BUL BUL;2;0;DUSUN 4
1,21E+15;30;BALIGE;33;BALIGE I;1;0;LINGKUNGAN 1
1,21E+15;30;BALIGE;33;BALIGE I;2;0;LINGKUNGAN 2
1,21E+15;30;BALIGE;33;BALIGE I;1;0;LINGKUNGAN 3
1,21E+15;30;BALIGE;33;BALIGE I;1;1;LINGKUNGAN 4
1,21E+15;30;BALIGE;34;LUMBAN DOLOK;1;2;LINGKUNGAN 1
1,21E+15;30;BALIGE;34;LUMBAN DOLOK;1;0;LINGKUNGAN 2
1,21E+15;30;BALIGE;34;LUMBAN DOLOK;2;0;LINGKUNGAN 3
1,21E+15;30;BALIGE;34;LUMBAN DOLOK;2;0;LINGKUNGAN 4
1,21E+15;30;BALIGE;34;LUMBAN DOLOK;1;0;LINGKUNGAN 5
1,21E+15;30;BALIGE;34;LUMBAN DOLOK;1;0;LINGKUNGAN 6
1,21E+15;30;BALIGE;35;LONGAT;1;0;DUSUN 1
1,21E+15;30;BALIGE;35;LONGAT;1;0;DUSUN 2
1,21E+15;30;BALIGE;37;LUMBAN SILINTONG;2;0;DUSUN 1
1,21E+15;30;BALIGE;37;LUMBAN SILINTONG;3;0;DUSUN 2
1,21E+15;30;BALIGE;37;LUMBAN SILINTONG;3;0;DUSUN 3
1,21E+15;30;BALIGE;37;LUMBAN SILINTONG;3;0;DUSUN 4
1,21E+15;30;BALIGE;38;LUMBAN PEA TIMUR;2;0;DUSUN 1
1,21E+15;30;BALIGE;38;LUMBAN PEA TIMUR;3;0;DUSUN 2
1,21E+15;30;BALIGE;38;LUMBAN PEA TIMUR;3;0;DUSUN 3
1,21E+15;30;BALIGE;38;LUMBAN PEA TIMUR;1;0;DUSUN 4
1,21E+15;30;BALIGE;39;TAMBUNAN SUNGE;2;0;DUSUN 1 SUNGE
1,21E+15;30;BALIGE;39;TAMBUNAN SUNGE;1;0;DUSUN 2 TIKKA TIKKA
1,21E+15;31;TAMPAHAN;1;TANGGA BATU BARAT;2;0;DUSUN 1
1,21E+15;31;TAMPAHAN;1;TANGGA BATU BARAT;3;0;DUSUN 2
1,21E+15;31;TAMPAHAN;1;TANGGA BATU BARAT;1;0;DUSUN 3
1,21E+15;31;TAMPAHAN;2;TANGGA BATU TIMUR;2;0;DUSUN 1
1,21E+15;31;TAMPAHAN;2;TANGGA BATU TIMUR;1;0;DUSUN 2
1,21E+15;31;TAMPAHAN;2;TANGGA BATU TIMUR;2;0;DUSUN 3
1,21E+15;31;TAMPAHAN;2;TANGGA BATU TIMUR;3;0;DUSUN 4
1,21E+15;31;TAMPAHAN;3;GURGUR AEK RAJA;2;0;DUSUN 1
1,21E+15;31;TAMPAHAN;3;GURGUR AEK RAJA;4;0;DUSUN 2
1,21E+15;31;TAMPAHAN;3;GURGUR AEK RAJA;2;0;DUSUN 3
1,21E+15;31;TAMPAHAN;3;GURGUR AEK RAJA;1;0;DUSUN 4
1,21E+15;31;TAMPAHAN;4;LINTONG NIHUTA;2;0;DUSUN 1
1,21E+15;31;TAMPAHAN;4;LINTONG NIHUTA;3;0;DUSUN 2
1,21E+15;31;TAMPAHAN;4;LINTONG NIHUTA;1;0;DUSUN 3
1,21E+15;31;TAMPAHAN;4;LINTONG NIHUTA;2;0;DUSUN 4
1,21E+15;31;TAMPAHAN;4;LINTONG NIHUTA;3;0;DUSUN 5
1,21E+15;31;TAMPAHAN;4;LINTONG NIHUTA;1;0;DUSUN 6
1,21E+15;31;TAMPAHAN;4;LINTONG NIHUTA;2;0;DUSUN 7
1,21E+15;31;TAMPAHAN;5;TARA BUNGA;1;0;DUSUN 1
1,21E+15;31;TAMPAHAN;5;TARA BUNGA;1;0;DUSUN 2
1,21E+15;31;TAMPAHAN;5;TARA BUNGA;2;0;DUSUN 3
1,21E+15;31;TAMPAHAN;5;TARA BUNGA;3;0;DUSUN 4
1,21E+15;31;TAMPAHAN;5;TARA BUNGA;2;0;DUSUN 5
1,21E+15;31;TAMPAHAN;6;M E A T;1;0;DUSUN 1
1,21E+15;31;TAMPAHAN;6;M E A T;2;0;DUSUN 2
1,21E+15;31;TAMPAHAN;6;M E A T;3;0;DUSUN 3
1,21E+15;40;LAGUBOTI;1;HAUNATAS I;1;0;DUSUN HUTAGALUNG
1,21E+15;40;LAGUBOTI;1;HAUNATAS I;2;0;DUSUN HUTABAGASAN
1,21E+15;40;LAGUBOTI;1;HAUNATAS I;3;0;DUSUN HUTA HOLBUNG
1,21E+15;40;LAGUBOTI;1;HAUNATAS I;4;0;DUSUN HUTA DAME
1,21E+15;40;LAGUBOTI;1;HAUNATAS I;5;0;DUSUN HUTA GURGUR
1,21E+15;40;LAGUBOTI;2;SINTONG MARNIPI;1;0;DUSUN LUMBAN SIBARANI
1,21E+15;40;LAGUBOTI;2;SINTONG MARNIPI;2;0;DUSUN LUMBAN SITIO TIO
1,21E+15;40;LAGUBOTI;2;SINTONG MARNIPI;3;0;DUSUN LUMBAN LAPO
1,21E+15;40;LAGUBOTI;2;SINTONG MARNIPI;4;0;DUSUN LUMBAN TUR
1,21E+15;40;LAGUBOTI;3;SIDULANG;1;0;DUSUN KOMPLEK GEREJA
1,21E+15;40;LAGUBOTI;3;SIDULANG;2;0;DUSUN PASAR SIMOTUNG
1,21E+15;40;LAGUBOTI;3;SIDULANG;3;0;DUSUN PASAR BARU
1,21E+15;40;LAGUBOTI;4;HAUNATAS II;1;0;DUSUN 1
1,21E+15;40;LAGUBOTI;4;HAUNATAS II;2;0;DUSUN 2
1,21E+15;40;LAGUBOTI;4;HAUNATAS II;3;0;DUSUN 3
1,21E+15;40;LAGUBOTI;4;HAUNATAS II;4;0;DUSUN 4
1,21E+15;40;LAGUBOTI;4;HAUNATAS II;5;0;DUSUN 5
1,21E+15;40;LAGUBOTI;5;SIBARANI NASAMPULU;1;0;DUSUN 1 SIBARANI TORUAN
1,21E+15;40;LAGUBOTI;5;SIBARANI NASAMPULU;2;0;DUSUN 2 SIBARANI DOLOK
1,21E+15;40;LAGUBOTI;5;SIBARANI NASAMPULU;3;0;DUSUN 3 SIBARANI NAMUNGKUP
1,21E+15;40;LAGUBOTI;5;SIBARANI NASAMPULU;4;0;DUSUN 4 PERUMAHAN KORPRI
1,21E+15;40;LAGUBOTI;6;SITANGKOLA;1;0;DUSUN 1
1,21E+15;40;LAGUBOTI;6;SITANGKOLA;2;0;DUSUN 2
1,21E+15;40;LAGUBOTI;6;SITANGKOLA;3;0;DUSUN 3
1,21E+15;40;LAGUBOTI;6;SITANGKOLA;4;0;DUSUN 4
1,21E+15;40;LAGUBOTI;6;SITANGKOLA;5;0;DUSUN 5
1,21E+15;40;LAGUBOTI;7;SIBUEA;1;0;DUSUN 1
1,21E+15;40;LAGUBOTI;7;SIBUEA;2;0;DUSUN 2
1,21E+15;40;LAGUBOTI;7;SIBUEA;3;0;DUSUN 3
1,21E+15;40;LAGUBOTI;7;SIBUEA;4;0;DUSUN 4
1,21E+15;40;LAGUBOTI;7;SIBUEA;5;0;DUSUN 5
1,21E+15;40;LAGUBOTI;7;SIBUEA;6;0;DUSUN 6
1,21E+15;40;LAGUBOTI;7;SIBUEA;7;0;DUSUN 7
1,21E+15;40;LAGUBOTI;8;SIMATIBUNG;1;0;DUSUN LUMBAN GORAT
1,21E+15;40;LAGUBOTI;8;SIMATIBUNG;2;0;DUSUN B GANJANG
1,21E+15;40;LAGUBOTI;8;SIMATIBUNG;3;0;DUSUN JALAN GEREJA
1,21E+15;40;LAGUBOTI;8;SIMATIBUNG;4;0;DUSUN L RIHIT
1,21E+15;40;LAGUBOTI;8;SIMATIBUNG;5;0;DUSUN G PANGUTANGAN
1,21E+15;40;LAGUBOTI;8;SIMATIBUNG;6;0;DUSUN LUMBAN HARO
1,21E+15;40;LAGUBOTI;8;SIMATIBUNG;7;0;DUSUN GOMPAR PATUAN
1,21E+15;40;LAGUBOTI;8;SIMATIBUNG;8;0;DUSUN L JIOR
1,21E+15;40;LAGUBOTI;9;PARDOMUAN NAULI;1;0;DUSUN LUMBAN RIA RIA
1,21E+15;40;LAGUBOTI;9;PARDOMUAN NAULI;2;0;DUSUN HUTATINGGI
1,21E+15;40;LAGUBOTI;9;PARDOMUAN NAULI;3;0;DUSUN LUMBAN DOLOK
1,21E+15;40;LAGUBOTI;9;PARDOMUAN NAULI;4;0;DUSUN LUMBAN HOLBUNG
1,21E+15;40;LAGUBOTI;10;UJUNG TANDUK;1;0;DUSUN TOPI AEK
1,21E+15;40;LAGUBOTI;10;UJUNG TANDUK;2;0;DUSUN SITUMORANG
1,21E+15;40;LAGUBOTI;10;UJUNG TANDUK;3;0;DUSUN SIBARANI
1,21E+15;40;LAGUBOTI;10;UJUNG TANDUK;4;0;DUSUN SINURAT
1,21E+15;40;LAGUBOTI;10;UJUNG TANDUK;5;0;DUSUN ONAN RIA
